"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 09:47:54 GMT 2024","Mon Sep 02 09:47:56 GMT 2024","1373","","mainTest","","","","test_operation2",""
"passed","Mon Sep 02 09:47:53 GMT 2024","Mon Sep 02 09:47:54 GMT 2024","1679","","mainTest","","","","test_operations1",""
"passed","Mon Sep 02 09:47:56 GMT 2024","Mon Sep 02 09:47:56 GMT 2024","626","","mainTest","","","","test_operation3",""
